Complexity,Loss,Equation
1,0.6835336,"3.5665205"
3,0.23623785,"(sum_g ^ 0.51437247)"
5,0.04512013,"((sum_g ^ 0.36384353) * 1.4844964)"
7,0.016880667,"(((sum_g ^ 0.20930459) * 3.5743172) - 2.328475)"
9,0.0056444644,"((((sum_g ^ 0.49962977) * 14.199157) - sum_g) * 0.099579)"
11,0.00562132,"(((((sum_g ^ 0.49749157) * 14.434154) + -0.072311215) - sum_g) * 0.0983186)"
13,0.0056211934,"(((((sum_g ^ 0.49749327) * 14.434154) + (-0.036684427 - sum_g)) - 0.03526291) * 0.098316535)"
15,0.005610697,"(((((sum_g ^ 0.49756354) * 14.434155) + (-0.07950788 - sum_g)) - (sum_s2 * 0.002557719)) * 0.09835856)"
