Complexity,Loss,Equation
1,0.074566066,"0.66989255"
3,0.030347396,"(sum_g ^ -0.17109983)"
5,0.030223045,"((sum_g - -0.19924162) ^ -0.16904175)"
7,0.005122158,"((1.0512239 ^ sum_g) - (sum_g * 0.1001172))"
9,0.002951658,"((1.0503954 ^ (sum_g + -0.27700236)) - (sum_g * 0.09641847))"
11,0.0029502907,"((1.0503757 ^ (sum_g + -0.24355754)) - ((sum_g + 0.016323129) * 0.096501894))"
13,0.0029487142,"((1.0503651 ^ ((sum_g + (0.0011569404 * sum_s1)) - 0.27724525)) - (sum_g * 0.09641919))"
14,0.0028906988,"(((1.0503954 ^ (sum_g - 0.276734)) - (sum_g * 0.09641812)) + (exp(sum_g) * -5.8763454e-12))"
15,0.0028173542,"(((1.0503954 ^ (sum_g - 0.276734)) - (sum_g * 0.09641847)) + ((sum_s1 ^ sum_s2) * -2.1646747e-13))"
