Complexity,Loss,Equation
1,1.004887,"3.2996778"
3,0.43623468,"(sum_s2 ^ 0.6821471)"
5,0.21448205,"((sum_s2 ^ 0.42065403) * 1.7319845)"
7,0.1913886,"((sum_s2 * (sum_g ^ -0.3727439)) + 1.2012185)"
9,0.009131403,"(((sum_s2 ^ 0.49930316) + (sum_g * -0.049816318)) * 2.0007954)"
11,0.009010446,"((((sum_s2 ^ 0.49904385) + (sum_g * -0.04982818)) * 2.0038824) - 0.0030215064)"
13,0.009010435,"(((((sum_s2 ^ 0.49904385) + (sum_g * -0.04982818)) * 2.0038824) - -0.046806674) + -0.04982818)"
15,0.0090104025,"((((sum_s2 ^ 0.49904385) + (sum_g * -0.04982818)) * 2.0038824) - (0.0030215064 * (sum_g ^ -0.002695322)))"
