Complexity,Loss,Equation
1,0.2500397,"0.5221514"
3,8.824295e-5,"(sum_g * 0.049997523)"
5,8.795431e-5,"((sum_g - -8.229141e-5) * 0.0499971)"
7,8.783437e-5,"((sum_g * (sum_g ^ -2.6242245e-5)) * 0.05000038)"
9,8.7702254e-5,"(((sum_g + -0.00032141607) - (sum_g - 0.050319187)) * sum_g)"
11,8.751464e-5,"((sum_g ^ -2.6940135e-5) * (sum_g * ((0.05000054 - sum_g) + sum_g)))"
13,8.737514e-5,"((sum_g + (0.0041969446 ^ ((2.7891405 + sum_s2) + (-0.3166506 * sum_g)))) * 0.04999751)"
14,8.736461e-5,"((sum_g + ((exp(sum_g) * (0.004239622 ^ (1.9427435 + sum_s2))) * sum_g)) * 0.04999751)"
15,8.708048e-5,"((sum_g + ((sum_g ^ sum_g) * (0.0041969446 ^ ((2.7891405 + sum_s2) + sum_s2)))) * 0.04999751)"
