Complexity,Loss,Equation
1,0.27641064,"0.7262152"
3,0.25075948,"(sum_g ^ -0.18608746)"
5,0.19236776,"(0.9064328 ^ (sum_g - sum_s2))"
7,0.020434687,"((1.1053393 ^ sum_s2) + (sum_g * -0.10092317))"
9,0.019747326,"((1.1050179 ^ sum_s2) + ((sum_g - -0.09361129) * -0.09972226))"
11,0.019374942,"((1.0998033 ^ (sum_s2 + 0.88924927)) + ((sum_g + 1.0044379) * -0.10048197))"
13,0.01937167,"((1.0998471 ^ (sum_s2 + 0.8847571)) + ((sum_g + (sum_g ^ 0.0027510985)) * -0.10044735))"
15,0.019362891,"((1.09975 ^ (sum_s2 + 0.9136103)) + ((sum_g + ((sum_g + 2.4811506) ^ 0.0261201)) * -0.100284874))"
