Complexity,Loss,Equation
1,0.68439776,"3.489277"
3,0.23528637,"(sum_g ^ 0.5138868)"
5,0.04387616,"((sum_g * 2.9234939) ^ 0.36512202)"
7,0.016167516,"(((sum_g ^ 0.21080287) * 3.5387065) - 2.2915823)"
9,0.0040534753,"(((sum_g + sum_g) ^ 0.5000201) - (sum_g * 0.10004091))"
11,0.004048381,"(((sum_g + sum_g) ^ 0.50001764) - ((sum_g - 0.0006483934) * 0.10004434))"
13,0.00404811,"((((sum_g - 0.00011977481) + sum_g) ^ 0.5000163) - ((sum_g - 0.0011151492) * 0.10004667))"
15,0.004048109,"(((((sum_g + -0.0010382754) + 0.00091747806) + sum_g) ^ 0.5000163) - ((sum_g - 0.0011151492) * 0.10004667))"
