Complexity,Loss,Equation
1,0.24734601,"0.5245216"
3,0.014501028,"(sum_g * 0.04968674)"
5,0.014254327,"((sum_g - 0.11373181) * 0.050041843)"
7,0.0142335845,"(((sum_g - 0.14285588) * 0.050030347) ^ 0.9893145)"
9,0.013937031,"((sum_g * 0.04913534) ^ ((sum_g * -0.0055254293) + 1.037905))"
11,0.01392745,"(((sum_g + 0.02427335) * 0.04906449) ^ ((sum_g * -0.005910204) + 1.0433952))"
13,0.01392607,"(((sum_g - -0.032664184) * 0.049048755) ^ (((sum_g + -0.20976269) * -0.0059465403) + 1.0434407))"
15,0.013862061,"((sum_g - ((sum_s1 * (0.5782257 ^ sum_g)) * ((sum_g * 0.7884467) - sum_s1))) * 0.049734358)"
