Complexity,Loss,Equation
1,0.32489392,"0.75919694"
3,0.32357776,"(sum_g ^ -0.16158816)"
5,0.30447012,"(1.0708572 ^ (sum_s2 - sum_g))"
7,0.25090787,"((1.1028235 ^ sum_s2) - (sum_g * 0.09581174))"
9,0.24407803,"((1.0973908 ^ sum_s2) - ((sum_g + 1.5076163) * 0.08032826))"
11,0.24407044,"((1.0966606 ^ (sum_s2 + 0.15092506)) - ((sum_g + 1.6875693) * 0.08054216))"
13,0.24179737,"((1.1037309 ^ (sum_s2 - 0.5524719)) + (((sum_g ^ -1117.263) + sum_g) * -0.087433524))"
15,0.24118224,"(((1.1001015 ^ sum_s2) - ((sum_g - -0.9034864) * 0.08633398)) - ((0.12886226 ^ sum_g) * sum_s2))"
