Complexity,Loss,Equation
1,1.1063416,"3.4464447"
3,0.85472316,"(sum_g ^ 0.5163202)"
5,0.7171123,"((sum_g - sum_s1) ^ 0.69380236)"
7,0.50360084,"(((sum_g - sum_s1) * 4.45041) ^ 0.39706188)"
9,0.47395623,"(((sum_g - sum_s1) * (0.9445251 ^ sum_g)) - -0.76603127)"
10,0.4739557,"((exp(sum_g * -0.05708893) * (sum_g - sum_s1)) + 0.76683795)"
11,0.42167723,"((((sum_g - sum_s1) * 4.342213) ^ 0.50072235) + (sum_g * -0.11557976))"
13,0.41890314,"(((((sum_g - sum_s1) * 4.3487515) + 0.010366868) ^ 0.50239044) + (sum_g * -0.117656685))"
15,0.41720363,"(((((sum_g - sum_s1) * 4.3227153) ^ 0.49974945) + (sum_g * -0.11403145)) + (0.094289705 ^ sum_g))"
