Complexity,Loss,Equation
1,0.30612904,"0.35907182"
3,0.17856194,"(sum_g * 0.038456466)"
5,0.15984148,"((sum_g * 0.04962398) - 0.1467004)"
7,0.15955035,"(((sum_g ^ 1.1463624) - 3.00433) * 0.030757373)"
9,0.15563393,"((((0.74666494 ^ sum_g) - 0.3646072) * -0.11562257) * sum_g)"
11,0.15388235,"(((sum_g - 1.8768073) - (sum_s2 ^ (3.7526631 - sum_s2))) * 0.045799945)"
13,0.15017658,"((sum_g - (((sum_s2 * 0.66825813) ^ (6.078527 - sum_g)) + 2.1007247)) * 0.04637918)"
15,0.14926544,"(((sum_g - 1.8714566) - ((sum_g * (sum_s2 * 0.030772028)) ^ (1.410354 - sum_s2))) * 0.045880668)"
