Complexity,Loss,Equation
1,0.39510697,"0.3917488"
3,0.22540283,"(sum_s2 * 0.102014)"
5,0.20655936,"((sum_s2 ^ 1.5795296) * 0.031214448)"
7,0.031116344,"((sum_s2 + (sum_s1 * -0.504461)) * 0.20126615)"
9,0.031073494,"((sum_s2 + ((sum_s1 + -0.029931154) * -0.5059971)) * 0.20118655)"
11,0.030787027,"((sum_s2 + (((sum_s1 ^ 0.9754456) + -0.08355845) * -0.53703314)) * 0.20156206)"
13,0.03057156,"((sum_s2 + ((sum_s1 + ((0.17747462 ^ sum_s1) * -0.15512033)) * -0.504461)) * 0.20126614)"
15,0.030562777,"((sum_s2 + ((sum_s1 + ((0.17747462 ^ (sum_s1 * sum_s1)) * -0.15512033)) * -0.504461)) * 0.20126614)"
