Complexity,Loss,Equation
1,0.42171016,"0.4007027"
3,0.23363444,"(sum_s2 * 0.1124924)"
5,0.22119193,"((1.0014385 - sum_s2) * -0.13305874)"
6,0.22118561,"((exp(0.007078194) - sum_s2) * -0.13342851)"
7,0.00048500736,"(((sum_s1 - sum_s2) - sum_s2) * -0.10000202)"
9,0.00048480905,"((((3.9615024e-5 - sum_s2) + sum_s1) - sum_s2) * -0.10000244)"
12,0.00048291156,"((((exp(-7.556665 - sum_s2) - sum_s2) - sum_s2) + sum_s1) * -0.10000239)"
13,0.0004823182,"(((((0.2253336 ^ (sum_s2 + 4.916682)) - sum_s2) + sum_s1) - sum_s2) * -0.100002386)"
15,0.00048158565,"((((((sum_s1 * 0.04311315) ^ (sum_s2 + 6.6100216)) - sum_s2) + sum_s1) - sum_s2) * -0.10000186)"
