Complexity,Loss,Equation
1,0.9738549,"3.2874954"
3,0.4354094,"(sum_s2 ^ 0.6798911)"
5,0.24296694,"((sum_s2 ^ 0.41735694) * 1.7054361)"
7,0.21611083,"(((sum_g ^ -0.3726655) * sum_s2) + 1.1830462)"
9,0.061724026,"(((sum_s2 ^ 0.50647014) * 1.9630717) + (sum_g * -0.1003631))"
11,0.061630946,"(((sum_s2 ^ 0.5038393) * 1.9771336) + ((sum_g - -0.16251457) * -0.10001001))"
13,0.060846984,"((((sum_s2 ^ 0.505469) - (0.021080008 ^ sum_g)) * 1.9648837) + (sum_g * -0.10012203))"
14,0.059831288,"((((sum_s2 ^ 0.5054796) + (exp(sum_s2) * 2.2189039e-7)) * 1.9648837) + (sum_g * -0.10061847))"
