Complexity,Loss,Equation
1,0.4338543,"0.49956095"
3,0.21989027,"(sum_s2 * 0.11447157)"
5,0.1973359,"((1.0888685 ^ sum_s2) - 1.0853263)"
6,0.19733116,"(exp(sum_s2 * 0.08521066) - 1.0871987)"
7,0.0023717852,"((sum_s2 + (sum_s1 * -0.50003487)) * 0.20003355)"
9,0.0023584925,"((sum_s2 - ((sum_s1 + 0.0036108766) - sum_s2)) * 0.1000566)"
11,0.002347249,"(((sum_s2 + sum_s2) - ((sum_s1 * 0.99901783) - -0.0064547365)) * 0.10002073)"
12,0.002341134,"((sum_s2 - ((sum_s1 + exp(-4.775403 - sum_s1)) - sum_s2)) * 0.100017965)"
13,0.0023295141,"((sum_s2 - ((sum_s1 + (0.008497699 ^ (sum_s2 + sum_s1))) - sum_s2)) * 0.10001799)"
14,0.0023259667,"((sum_s2 + ((sum_s2 - exp(-3.7606568 - (sum_s1 + sum_s2))) - sum_s1)) * 0.10002073)"
15,0.0022947334,"((sum_s2 - ((sum_s1 + (0.0084977 ^ ((sum_s1 * 0.7641354) + sum_s2))) - sum_s2)) * 0.10001793)"
