Complexity,Loss,Equation
1,0.5375967,"0.5310934"
3,0.36978167,"(sum_s2 * 0.11123676)"
5,0.36211404,"((sum_s2 + -1.0072069) * 0.13374381)"
7,0.28250086,"((sum_s2 * 0.29558885) - (sum_g * 0.10151094))"
9,0.2821188,"((sum_s2 * 0.2951509) - ((sum_g ^ 1.0215659) * 0.095955126))"
10,0.28098375,"(((sum_s2 * 0.27345744) - exp(sum_g * 0.05249226)) - -0.8753594)"
11,0.27767617,"((sum_s2 * 0.29220644) - ((sum_g + (sum_g ^ -37.22251)) * 0.09899039))"
12,0.27570054,"(((sum_s2 * 0.37692297) - exp(sum_g * 0.056119584)) + (0.807597 ^ sum_s2))"
14,0.2754272,"((((sum_s2 * 0.45327276) - exp(sum_g * 0.06407297)) + (0.7592807 ^ sum_s2)) * 0.7890121)"
15,0.27207565,"(((sum_s2 * 0.30061388) - (sum_g * 0.10297492)) - ((0.12367522 ^ sum_g) * (sum_g ^ sum_s2)))"
