Complexity,Loss,Equation
1,0.2502767,"0.5388396"
3,0.0015179968,"(sum_g * 0.04996601)"
5,0.0014308627,"((0.016773228 - sum_g) * -0.050024815)"
9,0.0014169883,"((0.014302079 - (sum_g - (0.04086092 ^ sum_g))) * -0.050017264)"
10,0.0013851036,"((exp((sum_s1 + -2.920723) - sum_g) - sum_g) * -0.049971744)"
11,0.0013682123,"((0.014302079 - (sum_g - ((0.04086092 * sum_s1) ^ sum_g))) * -0.050017137)"
13,0.0013307154,"((0.014302079 - (sum_g - ((-0.0 ^ (sum_g - sum_s1)) * 0.04086092))) * -0.050017137)"
