Complexity,Loss,Equation
1,0.96202165,"3.299906"
3,0.7117065,"(sum_g ^ 0.51490825)"
5,0.44111764,"((sum_g - sum_s1) ^ 0.6830867)"
7,0.23173152,"(((sum_g - sum_s1) ^ 0.43003497) * 1.7234056)"
9,0.17582051,"(((sum_g - sum_s1) ^ 0.62330294) + (0.89704424 ^ sum_s1))"
11,0.0045163757,"((((sum_g - sum_s1) ^ 0.5000343) * 1.99954) + (sum_g * -0.09990207))"
13,0.004507568,"((((sum_g - sum_s1) ^ 0.5000454) * 1.9996068) + ((sum_g + sum_g) * -0.04996151))"
15,0.004496001,"((((sum_g - sum_s1) ^ 0.49998888) * 1.9995798) + ((sum_g + (sum_s1 * 0.001509929)) * -0.099803284))"
