Complexity,Loss,Equation
1,0.6946266,"3.5254047"
3,0.25150833,"(sum_g ^ 0.5172928)"
5,0.06828184,"((sum_g ^ 0.3720062) * 1.4686763)"
7,0.05007612,"(((sum_g ^ 0.25402665) * 2.7324007) - 1.4253441)"
9,0.04635063,"(((sum_g ^ 0.48926213) * 1.4261162) + (sum_g * -0.09021814))"
11,0.04607528,"((((sum_g - 0.5231897) ^ 0.6703922) - (sum_g * 0.19358209)) + 0.9172262)"
13,0.04606041,"((((sum_g + -0.5125657) ^ 0.6641064) - ((sum_g - -0.23242007) * 0.18583281)) + 0.94225746)"
15,0.045997236,"((((sum_g + -0.5263123) ^ 0.67192054) - ((sum_g - (sum_s2 * 0.0115328)) * 0.1965184)) + 0.9225546)"
